occupancy_code;name;rating_group
313;Box & Corrugating Plants;J
314;Integrated Plant/Pulp & Paper;J
320;Asphalt Mix Plants, Floor/Roof Products;J
330;Tire Repair, Retreading;H
331;Rubber, Rubber Products Mfg.;G
332;Tire Factories;G
340;Semiconductor Mfg., Incl. Wafer Slider Mfg.;J
341;Silicon/Gallium Arsenate Ingot Mfg., Incl. Epitaxial Deposition;J
342;Silicon/Gallium Arsenide Wafer Proc., Excl.. Epitaxial Deposition, Wafer Recl.;J
343;Epitaxial Deposition/Metallization/Sputtering;J
344;Elec. Test & Assem., Pkg, Chip/Multi Chip Modul.;J
345;Flat Panel Display Mfg.;J
346;Mask/Reticule Mfg.;E
347;Printed Circuit Board Mfg./Assem.;E
348;Computer Stge. Device Mfg.;E
349;Comp/Semicond Equip Fabication/Assem.;E
351;Municipalities (Policy Level Only);I
352;Sewage Disposal Plant;I
356;Water Pumping Stations;I
360;Central Steam Plant;I
362;Central Air Conditioning;I
363;Desalinization Plant;I
370;Beet/Cane Sugar Mills/Refineries;D
380;Telecommunications - Regional;A1
381;Telecommunications - Local;A2
382;Telecommunications - Cellular;A1
390;Thread & Yarn Mills;F
391;Cotton/Fiber Mills;F
392;Leather Goods Mfg.;F
393;Clothing/Apparel Mfg.;F
394;Asbestos Fiber Mill;F
399;Textile Mill NOC;F
401;Bridge/Road/General Construction;A1
402;Bus Lines;A1
404;Airlines;A1
405;Tugboat Operations;A1
406;Dredge Operations;J
407;Railroad Terminals;A1
409;Transportation/ Navigation, NOC;A1
552;Synthetic Abrasives (Carborundum);H
564;Accounting Services;A1
565;Real Estate/Insurance Agent;A2
566;Legal Services;A1
567;Offices (Tenants, Not Owners);A1
568;Consultants;A1
569;Contractor,  Building;A1
580;Amusement Parks;A2
581;Bowling Alleys;A1
582;Country Clubs;A2
583;Ice Rinks;D
584;Art Galleries & Museums;A1
585;Race Tracks;A1
586;Ski Resort/Operations;A2
587;Stadiums;A1
588;Swimming Pools/Clubs;A1
589;Theaters;A2
590;Casinos;A1
600;Oil & Gas NOC;J
601;Pipelines;J
602;Lean Oil Absorb/Gas/Gasoline;J
603;Cryogenic Gas Plants;J
604;Distillation Refinery;J
605;Terminals & Distribution;J
606;LNG & LPG/Peak Shave/Gas;J
607;SNG (Coal Gasification);J
608;Cracking Refinery;J
609;Well Drilling & Pumping;J
611;Desulfurization & Dehydration;J
620;Chemical Manufacturing, NOC;J
621;Caustic/Chlorine Bleach;J
622;Soda Ash/Potash-Phosphate;J
623;Sulfuric Acid;J
624;Phosphoric Acid;J
625;Hazardous Waste Treatment;I
626;Agrichemicals-Includes Insect;J
627;Batch Chemical with Reaction;J
628;Batch Mixing & Blending w/o Reaction;J
629;Air Separation;J
630;Acid, NOC;J
631;Cellulose Products;J
632;Catalyst Mfg. & Reclaiming;J
633;Fatty Acids-Incl. Tall Oil;J
634;Organic Peroxides;J
635;Industrial Gas Bottle/Distribution;J
636;Coke Calcining;J
640;Petrochemical, NOC;J
641;Olefins;J
642;Ethylene & Propylene Polymers;J
643;Ethylene/Propylene & Propylene Derivatives;J
644;EDC, VCM, PVC;J
645;Styrene;J
646;Polystyrene;J
647;Cumene & Phenols-Acetone;J
648;Butylene & Derivatives;J
649;Methyl Tertiary Butyl Ether (MTBE);J
651;Aromatics & Derivatives;J
652;Carbon Black;J
653;Ammonia & Derivatives;J
654;Nitric Acid/Ammonia Nitrate;J
655;Acetylene & Derivatives;J
656;Methanol & Derivatives;J
657;Acrylic Monomers & Derivatives;J
658;Cyclohexane & Derivatives;J
659;Cyanides;J
661;Butanes & Derivatives;J
662;Hydrogen Plants;J
670;Synthetic Adhesives;J
671;Paint, Lacquers, Varnish, Dyes;J
672;Perfumes, Cosmetics, Toiletries;H
673;Chemical Labs;J
674;Cotton Seed Oil;J
675;Wood Chemical/Turpentine;J
676;Drugs & Pharmaceuticals;H
677;Soaps;H
678;Explosives/Fireworks;J
679;Chemical Mfg.-Ethanol;J
700;Utility, Steam/Fossil Fuel;J
701;IPP, Steam/Fossil Fuel;J
702;Utility, Steam/Refuse Mass;J
703;IPP, Steam/Refuse Mass;J
704;Utility, Steam/Refuse Derived;J
705;IPP, Steam//Refuse Derived;J
710;Utility, Combustion Turbine Combined Cycle;J
711;IPP, Combustion Turbine Combined Cycle;J
712;Utility, Combustion Turbine Simple Cycle;J
713;IPP, Combustion Turbine Simple Cycle;J
715;Utility, Hydro;J
716;IPP, Hydro;J
717;Utility, Hyrdo, Pumped Storage;J
718;IPP, Hydro, Pumped Storage;J
720;Utility, Diesel;J
721;IPP, Diesel;J
725;Utility, Substations, & Distribution;J
726;IPP, Substations, & Distribution;J
727;Utility, Generation, NOC;J
728;IPP, Generation, NOC;J
729;Utility, Wind;J
730;IPP, Wind;J
731;Utility, Solar;J
732;IPP, Solar;J
733;Nuclear Power Plant;J
999;Occupancy Unknown;A2
