AQUAFORTE;A0A 1A0;NEWFOUNDLAND AND LABRADOR;;NL
GASCONS                       ;G0C1P0;QUEBEC;;QC
GETHSEMANI                    ;G0G1M0;QUEBEC;;QC
GRANDE-ENTREE                 ;G0B1H0;QUEBEC;;QC
GRANDE-RIVIERE                ;G0C1V0;QUEBEC;;QC
GRANDE-RIVIERE-OUEST          ;G0C1W0;QUEBEC;;QC
GRANDE-VALLEE                 ;G0E1K0;QUEBEC;;QC
GRONDINES                     ;G0A1W0;QUEBEC;;QC
GROS-MORNE                    ;G0E1L0;QUEBEC;;QC
HARRINGTON HARBOUR            ;G0G1N0;QUEBEC;;QC
HAVRE-AUBERT                  ;G0B1J0;QUEBEC;;QC
HAVRE-AUX-MAISONS             ;G0B1K0;QUEBEC;;QC
HAVRE-SAINT-PIERRE            ;G0G1P0;QUEBEC;;QC
HOPE                          ;G0C2K0;QUEBEC;;QC
ISLE-AUX-COUDRES              ;G0A1X0;QUEBEC;;QC
JACQUES-CARTIER               ;G0A1Y0;QUEBEC;;QC
KAWAWACHIKAMACH               ;G0G2Z0;QUEBEC;;QC
KEGASKA                       ;G0G1S0;QUEBEC;;QC
L'ALVERNE                     ;G0C1X0;QUEBEC;;QC
L'ANGE GARDIEN                ;G0A2K0;QUEBEC;;QC
L'ANSE-PLEUREUSE              ;G0E2E0;QUEBEC;;QC
L'ETANG-DU-NORD               ;G0B1E0;QUEBEC;;QC
L'ILE-MICHON                  ;G0G1R0;QUEBEC;;QC
LA BALEINE                    ;G0A2A0;QUEBEC;;QC
LA MARTRE                     ;G0E2H0;QUEBEC;;QC
LA TABATIERE                  ;G0G1T0;QUEBEC;;QC
LAC-BEAUPORT                  ;G0A2C0;QUEBEC;;QC
LAC-SERGENT                   ;G0A2J0;QUEBEC;;QC
LES EBOULEMENTS               ;G0A3Y0;QUEBEC;;QC
LES EBOULEMENTS               ;G0A2M0;QUEBEC;;QC
LESLIE                        ;G0B1M0;QUEBEC;;QC
LISTUGUJ                      ;G0C2R0;QUEBEC;;QC
LONGUE-POINTE-DE-MINGAN       ;G0G1V0;QUEBEC;;QC
LOURDES-DE-BLANC-SABLON       ;G0G1W0;QUEBEC;;QC
MADELEINE-CENTRE              ;G0E1P0;QUEBEC;;QC
MAGPIE                        ;G0G1X0;QUEBEC;;QC
MANCHE-D'EPEE                 ;G0E1R0;QUEBEC;;QC
MARIA                         ;G0C1Y0;QUEBEC;;QC
MARSOUI                       ;G0E1S0;QUEBEC;;QC
MIDDLE BAY                    ;G0G1Z0;QUEBEC;;QC
MOISIE                        ;G0G2B0;QUEBEC;;QC
MONT-LOUIS                    ;G0E1T0;QUEBEC;;QC
MONT-SAINT-PIERRE             ;G0E1V0;QUEBEC;;QC
MURDOCHVILLE                  ;G0E1W0;QUEBEC;;QC
MUTTON BAY                    ;G0G2C0;QUEBEC;;QC
NATASHQUAN                    ;G0G2E0;QUEBEC;;QC
NEUVILLE                      ;G0A2R0;QUEBEC;;QC
NEW CARLISLE                  ;G0C1Z0;QUEBEC;;QC
NEW RICHMOND                  ;G0C2B0;QUEBEC;;QC
NEW RICHMOND                  ;G0C1C0;QUEBEC;;QC
NEWPORT                       ;G0C2A0;QUEBEC;;QC
NOUVELLE                      ;G0C2E0;QUEBEC;;QC
NOUVELLE-OUEST                ;G0C2G0;QUEBEC;;QC
OLD FORT BAY                  ;G0G2G0;QUEBEC;;QC
PABOS                         ;G0C2H0;QUEBEC;;QC
PABOS MILLS                   ;G0C2J0;QUEBEC;;QC
PERCE                         ;G0C2L0;QUEBEC;;QC
PETITE-RIVIERE-SAINT-FRANCOIS ;G0A2L0;QUEBEC;;QC
PETITE-VALLEE                 ;G0E1Y0;QUEBEC;;QC
POINTE-A-LA-CROIX             ;G0C1L0;QUEBEC;;QC
POINTE-A-LA-GARDE             ;G0C2M0;QUEBEC;;QC
POINTE-AUX-LOUPS              ;G0B1P0;QUEBEC;;QC
PORT-DANIEL                   ;G0C2N0;QUEBEC;;QC
PORT-MENIER                   ;G0G2Y0;QUEBEC;;QC
PORTNEUF                      ;G0A2Y0;QUEBEC;;QC
PORTNEUF-STATION              ;G0A2Z0;QUEBEC;;QC
RIVIERE-A-CLAUDE              ;G0E1Z0;QUEBEC;;QC
RIVIERE-A-PIERRE              ;G0A3A0;QUEBEC;;QC
RIVIERE-AU-TONNERRE           ;G0G2L0;QUEBEC;;QC
RIVIERE-MADELEINE             ;G0E2B0;QUEBEC;;QC
RIVIERE-PASPEBIAC             ;G0C2S0;QUEBEC;;QC
RIVIERE-SAINT-JEAN            ;G0G2N0;QUEBEC;;QC
RIVIERE-SAINT-PAUL            ;G0G2P0;QUEBEC;;QC
RUISSEAU-A-REBOURS            ;G0E2C0;QUEBEC;;QC
SAINT-ALBAN                   ;G0A3B0;QUEBEC;;QC
SAINT-ALPHONSE-DE-CAPLAN      ;G0C2V0;QUEBEC;;QC
SAINT-AUGUSTIN-SAGUENAY       ;G0G2R0;QUEBEC;;QC
SAINT-BASILE                  ;G0A3G0;QUEBEC;;QC
SAINT-BASILE-STATION          ;G0A3H0;QUEBEC;;QC
SAINT-BERNARD-SUR-MER         ;G0A3J0;QUEBEC;;QC
SAINT-CASIMIR                 ;G0A3L0;QUEBEC;;QC
SAINT-ELZEAR-DE-BONAVENTURE   ;G0C2W0;QUEBEC;;QC
SAINT-FERREOL-LES-NEIGES      ;G0A3R0;QUEBEC;;QC
SAINT-FRANCOIS-D'ORLEANS      ;G0A3S0;QUEBEC;;QC
SAINT-GABRIEL-DE-VALCARTIER   ;G0A4S0;QUEBEC;;QC
SAINT-GEORGES-DE-MALBAIE      ;G0C2X0;QUEBEC;;QC
SAINT-GILBERT                 ;G0A3T0;QUEBEC;;QC
SAINT-GODEFROI                ;G0C3C0;QUEBEC;;QC
SAINT-HILARION                ;G0A3V0;QUEBEC;;QC
SAINT-JEAN-D'ORLEANS          ;G0A3W0;QUEBEC;;QC
SAINT-JOGUES                  ;G0C2Y0;QUEBEC;;QC
SAINT-LAURENT-ILE-D'ORLEANS   ;G0A3Z0;QUEBEC;;QC
SAINT-LEONARD-DE-PORTNEUF     ;G0A4A0;QUEBEC;;QC
SAINT-MARC-DES-CARRIERES      ;G0A4B0;QUEBEC;;QC
SAINT-OMER                    ;G0C2Z0;QUEBEC;;QC
SAINT-PIERRE-ILE-D'ORLEANS    ;G0A4E0;QUEBEC;;QC
SAINT-SIMEON-DE-BONAVENTURE   ;G0C3A0;QUEBEC;;QC
SAINT-THURIBE                 ;G0A4H0;QUEBEC;;QC
SAINT-TITE-DES-CAPS           ;G0A4J0;QUEBEC;;QC
SAINT-UBALDE                  ;G0A4L0;QUEBEC;;QC
SAINT-URBAIN-DE-CHARLEVOIX    ;G0A4K0;QUEBEC;;QC
SAINTE-ANNE-DE-BEAUPRE        ;G0A3C0;QUEBEC;;QC
SAINTE-BRIGITTE-DE-LAVAL      ;G0A3K0;QUEBEC;;QC
SAINTE-CHRISTINE-D'AUVERGNE   ;G0A1A0;QUEBEC;;QC
SAINTE-FAMILLE                ;G0A3P0;QUEBEC;;QC
SAINTE-PETRONILLE             ;G0A4C0;QUEBEC;;QC
SAINTE-THERESE-DE-GASPE       ;G0C3B0;QUEBEC;;QC
SCHEFFERVILLE                 ;G0G2T0;QUEBEC;;QC
SHANNON                       ;G0A4N0;QUEBEC;;QC
SHELDRAKE                     ;G0G2V0;QUEBEC;;QC
SHIGAWAKE                     ;G0C3E0;QUEBEC;;QC
ST-JOACHIM-DE-MONTMORENCY     ;G0A3X0;QUEBEC;;QC
STE-CATHERINE-DE-LA-J-CARTIER ;G0A3M0;QUEBEC;;QC
STONEHAM                      ;G0A4P0;QUEBEC;;QC
TETE-A-LA-BALEINE             ;G0G2W0;QUEBEC;;QC
VAL-D'ESPOIR                  ;G0C3G0;QUEBEC;;QC
VALCARTIER BPM 210            ;G0A4W0;QUEBEC;;QC
WENDAKE                       ;G0A4V0;QUEBEC;;QC
