ALFA ROMEO     , ALFA 147 , 1.6 TS DISTINCTIVE ,07, 937BXA1A05    , BE5,nr15545,   ,INJ ,105,Yes
AUDI           , A4       , 2.0 REFERENCE MULTI,09,T              , BE4,nr15574,S7 ,INJ ,130,Yes
AUDI           , A4       , 2.5 TDI 180 PK QUAT,11,T              , BE4,nr15575,S7 ,DITU,180,Yes
AUDI           , A4       , 2.5TDI 180 REFER QU,11,A              , BE4,nr15576,S7 ,DITU,180,Yes
AUDI           , A4       , 3.0 V6  PACK       ,14,               , BE4,nr15577,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PACK MULTIT,14,R              , BE4,nr15578,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PACK PLUS  ,14,               , BE4,nr15579,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PACK QUATTR,14,O              , BE4,nr15580,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PK PL QUAT ,14,T              , BE4,nr15581,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PK PLUS MUL,14,T              , BE4,nr15582,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PK PLUS QUA,14,T              , BE4,nr15583,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  PK QUAT TIP,14,T              , BE4,nr15584,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6  REFERENCE  ,14,               , BE4,nr15585,S7 ,INJ ,220,Yes
AUDI           , A4       , 3.0 V6 REFERENCE MU,14,L              , BE4,nr15586,S7 ,INJ ,220,Yes
AUDI           , A4       , TDI 180 PK PLUS QUA,11,T              , BE4,nr15587,S7 ,DITU,180,Yes
BMW            , 320      , I                  ,11, AV11          , BE4,nr15588,   ,INJ ,170,Yes
BMW            , 320      , I PACK             ,11, AV10          , BE4,nr15589,   ,INJ ,170,Yes
BMW            , 320      , I PACK LUXE        ,11, AV18          , BE4,nr15590,   ,INJ ,170,Yes
BMW            , 325      , CI                 ,12, BN31          , CPE,nr15591,S7 ,INJ ,192,Yes
BMW            , 325      , CI                 ,12, BS31          , CAB,nr15592,S7 ,INJ ,192,Yes
BMW            , 325      , I                  ,12, AV31          , BE4,nr15593,   ,INJ ,192,Yes
BMW            , 325      , I PACK             ,12, AV30          , BE4,nr15594,   ,INJ ,192,Yes
BMW            , 325      , I PACK LUXE        ,12, ZV38          , BE4,nr15595,   ,INJ ,192,Yes
BMW            , 325      , XI                 ,13, AV31          , BE4,nr15596,   ,INJ ,192,Yes
BMW            , 325      , XI PACK            ,13, AV30          , BE4,nr15597,   ,INJ ,192,Yes
BMW            , 325      , XI PACK LUXE       ,13, ZV38          , BE4,nr15598,   ,INJ ,192,Yes
BMW            , M3       , 3.2                ,25, BL91          , CPE,nr15599,S7 ,INJ ,343,Yes
CITROEN        , C5       , 2.0 16V EXCLUSIVE B,09,ADCRFNE        , BE5,nr15600,S7 ,INJ ,137,Yes
CITROEN        , C5       , 2.0 16V SX         ,09, DCRFNB        , BE5,nr15601,S7 ,INJ ,137,Yes
CITROEN        , C5       , 2.0 16V SX BVA     ,09, DCRFNE        , BE5,nr15602,S7 ,INJ ,137,Yes
CITROEN        , C5       , 2.0 HDI 110  X     ,06, DCRHZB        , BE5,nr15603,S7 ,DITU,110,Yes
CITROEN        , C5       , 2.0 HDI 110 SX     ,06, DCRHZB        , BE5,nr15604,S7 ,DITU,110,Yes
CITROEN        , C5       , 2.0 HDI 110 SX BA  ,07, DCRHZE        , BE5,nr15605,S7 ,DITU,110,Yes
CITROEN        , C5       , 2.0 HDI 110 X BA   ,07, DCRHZE        , BE5,nr15606,S7 ,DITU,110,Yes
CITROEN        , C5       , 2.0 HPI EXCLUSIVE  ,08, DCRLZB        , BE5,nr15607,S7 ,INTU,143,Yes
CITROEN        , C5       , 2.2 HDI 16V SX     ,08, DC4HXB        , BE5,nr15608,S7 ,DITU,134,Yes
CITROEN        , C5       , 2.2 HDI EXCLUSIVE  ,08, DC4HXB        , BE5,nr15609,S7 ,DITU,134,Yes
CITROEN        , C5       , V6 EXCLUSIVE       ,13, DCXFXB        , BE5,nr15610,S7 ,INJ ,210,Yes
CITROEN        , C5       , V6 EXCLUSIVE BVA   ,14, DCXFXE        , BE5,nr15611,S7 ,INJ ,210,Yes
CITROEN        , JUMPER   , 27C 2.8 HDI        ,09, 231AL2        , FTE,nr15612,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31C 2.8 HDI        ,09, 231AL2        , FTE,nr15613,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31C 2.8 HDI        ,09, 231GL2        , FTE,nr15614,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31C 2.8 HDI        ,09, 231GL22       , FTE,nr15615,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31CH 2.8 HDI       ,09, 231AL2        , FTE,nr15616,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31L 2.8 HDI        ,09, 233GL2        , FTE,nr15617,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31L 2.8 HDI        ,09, 233GL22       , FTE,nr15618,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31L 2.8 HDI        ,09, 233HL2        , FTE,nr15619,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31LH 2.8 HDI       ,09, 232BL2        , FTE,nr15620,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31M 2.8 HDI        ,09, 232BL2        , FTE,nr15621,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31M 2.8 HDI        ,09, 232GL2        , FTE,nr15622,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31M 2.8 HDI        ,09, 232GL22       , FTE,nr15623,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31M 2.8 HDI        ,09, 232HL2        , FTE,nr15624,   ,DITU,127,Yes
CITROEN        , JUMPER   , 31MH 2.8 HDI       ,09, 232BL2        , FTE,nr15625,   ,DITU,127,Yes
CITROEN        , JUMPER   , 32M 2.8 HDI        ,09, 232FL2        , FTE,nr15626,   ,DITU,127,Yes
CITROEN        , JUMPER   , 32MH 2.8 HDI       ,09, 232FL2        , FTE,nr15627,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35L 2.8 HDI        ,09, 233KL2        , FTE,nr15628,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35L 2.8 HDI        ,09, 233KL22       , FTE,nr15629,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35L 2.8 HDI        ,09, 233LL2        , FTE,nr15630,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35L 2.8 HDI        ,09, 233LL21       , FTE,nr15631,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35L 2.8 HDI        ,09, 233NL2        , FTE,nr15632,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35LH 2.8 HDI       ,09, 233JL2        , FTE,nr15633,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35LH 2.8 HDI       ,09, 233NL2        , FTE,nr15634,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35LS 2.8 HDI       ,09, 233JL2        , FTE,nr15635,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35M 2.8 HDI        ,09, 232HL2        , FTE,nr15636,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35M 2.8 HDI        ,09, 232KL2        , FTE,nr15637,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35M 2.8 HDI        ,09, 232KL22       , FTE,nr15638,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35M 2.8 HDI        ,09, 232NL2        , FTE,nr15639,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35MH 2.8 HDI       ,09, 232JL2        , FTE,nr15640,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35MH 2.8 HDI       ,09, 232NL2        , FTE,nr15641,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35MS 2.8 HDI       ,09, 232JL2        , FTE,nr15642,   ,DITU,127,Yes
CITROEN        , JUMPER   , 35XL 2.8 HDI       ,09, 234KL2        , FTE,nr15643,   ,DITU,127,Yes
CITROEN        , XSARAPICA,S1.6I               ,06, CHNFVB        , BK5,nr15644,S7 ,INJ ,096,Yes
CITROEN        , XSARAPICA,S1.8I 16V           ,07, CH6FZB        , BK5,nr15645,S7 ,INJ ,117,Yes
CITROEN        , XSARAPICA,S2.0 HDI            ,05, CHRHYB        , BK5,nr15646,S7 ,DITU,090,Yes
FIAT           , PUNTO    , 60 STEEL           ,04,               , BE3,nr15647,S7 ,INJ ,060,Yes
FIAT           , PUNTO    , 60 STEEL           ,04,               , BE5,nr15648,S7 ,INJ ,060,Yes
FIAT           , PUNTO    , 60 STEEL CLIM      ,04,               , BE3,nr15649,S7 ,INJ ,060,Yes
FIAT           , PUNTO    , 60 STEEL CLIM      ,04,               , BE5,nr15650,S7 ,INJ ,060,Yes
FIAT           , PUNTO    , 80 16V STEEL       ,05,               , BE3,nr15651,S7 ,INJ ,080,Yes
FIAT           , PUNTO    , 80 16V STEEL       ,05,               , BE5,nr15652,S7 ,INJ ,080,Yes
FIAT           , PUNTO    , 80 16V STEEL CLIM  ,05,               , BE3,nr15653,S7 ,INJ ,080,Yes
FIAT           , PUNTO    , 80 16V STEEL CLIM  ,05,               , BE5,nr15654,S7 ,INJ ,080,Yes
FIAT           , PUNTO    , JTD80 STEEL        ,05,               , BE3,nr15655,S7 ,DITU,080,Yes
FIAT           , PUNTO    , JTD80 STEEL        ,05,               , BE5,nr15656,S7 ,DITU,080,Yes
FIAT           , PUNTO    , JTD80 STEEL CLIM   ,05,               , BE3,nr15657,S7 ,DITU,080,Yes
FIAT           , PUNTO    , JTD80 STEEL CLIM   ,05,               , BE5,nr15658,S7 ,DITU,080,Yes
FORD           , FIESTA   , 1300 ODYSSEE       ,05,               , BE3,nr15659,S7 ,INJ ,060,Yes
FORD           , FIESTA   , 1300 ODYSSEE       ,05,               , BE5,nr15660,S7 ,INJ ,060,Yes
FORD           , MONDEO   , 1.8 16V AMBIENTE   ,07,               , BE4,nr15661,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V AMBIENTE   ,07,               , BE5,nr15662,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V GHIA       ,07,               , BE4,nr15663,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V GHIA       ,07,               , BE5,nr15664,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V GHIA 125CH ,08,               , BE4,nr15665,S7 ,INJ ,125,Yes
FORD           , MONDEO   , 1.8 16V GHIA 125CH ,08,               , BE5,nr15666,S7 ,INJ ,125,Yes
FORD           , MONDEO   , 1.8 16V GHIA 125CH ,08,               , BK5,nr15667,S7 ,INJ ,125,Yes
FORD           , MONDEO   , 1.8 16V TREND      ,07,               , BE4,nr15668,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V TREND      ,07,               , BE5,nr15669,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V TREND      ,07,               , BK5,nr15670,S7 ,INJ ,110,Yes
FORD           , MONDEO   , 1.8 16V TREND 125CH,08,               , BE4,nr15671,S7 ,INJ ,125,Yes
FORD           , MONDEO   , 1.8 16V TREND 125CH,08,               , BE5,nr15672,S7 ,INJ ,125,Yes
FORD           , MONDEO   , 1.8 16V TREND 125CH,08,               , BK5,nr15673,S7 ,INJ ,125,Yes
FORD           , MONDEO   , 2.0 16V GHIA       ,09,               , BE4,nr15674,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V GHIA       ,09,               , BE5,nr15675,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V GHIA       ,09,               , BK5,nr15676,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V GHIA BA    ,10,               , BE4,nr15677,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V GHIA BA    ,10,               , BE5,nr15678,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V GHIA BA    ,10,               , BK5,nr15679,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V TREND      ,09,               , BE4,nr15680,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V TREND      ,09,               , BE5,nr15681,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V TREND      ,09,               , BK5,nr15682,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V TREND BA   ,10,               , BE4,nr15683,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V TREND BA   ,10,               , BE5,nr15684,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 16V TREND BA   ,10,               , BK5,nr15685,S7 ,INJ ,145,Yes
FORD           , MONDEO   , 2.0 DI AMBIENTE 115,07,               , BE4,nr15686,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI AMBIENTE 115,07,               , BE5,nr15687,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI AMBIENTE 115,07,               , BK5,nr15688,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI AMBIENTE 90 ,06,               , BE4,nr15689,S7 ,DITU,090,Yes
FORD           , MONDEO   , 2.0 DI AMBIENTE 90 ,06,               , BE5,nr15690,S7 ,DITU,090,Yes
FORD           , MONDEO   , 2.0 DI GHIA 115    ,07,               , BE4,nr15691,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI GHIA 115    ,07,               , BE5,nr15692,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI GHIA 115    ,07,               , BK5,nr15693,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI TREND 115   ,07,               , BE4,nr15694,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI TREND 115   ,07,               , BE5,nr15695,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI TREND 115   ,07,               , BK5,nr15696,S7 ,DITU,115,Yes
FORD           , MONDEO   , 2.0 DI TREND 90    ,06,               , BE4,nr15697,S7 ,DITU,090,Yes
FORD           , MONDEO   , 2.0 DI TREND 90    ,06,               , BE5,nr15698,S7 ,DITU,090,Yes
FORD           , MONDEO   , 2.0 DI TREND 90    ,06,               , BK5,nr15699,S7 ,DITU,090,Yes
FORD           , MONDEO   , 2.0DI AMBIENTE 90  ,06,               , BK5,nr15700,S7 ,DITU,090,Yes
FORD           , MONDEO   , 2.5 V6 GHIA        ,11,               , BE4,nr15701,S7 ,INJ ,170,Yes
FORD           , MONDEO   , 2.5 V6 GHIA        ,11,               , BE5,nr15702,S7 ,INJ ,170,Yes
FORD           , MONDEO   , 2.5 V6 GHIA CLIPPER,11,               , BK5,nr15703,S7 ,INJ ,170,Yes
FORD           , MONDEO   , 2.5 V6 TREND       ,11,               , BE4,nr15704,S7 ,INJ ,170,Yes
FORD           , MONDEO   , 2.5 V6 TREND       ,11,               , BE5,nr15705,S7 ,INJ ,170,Yes
FORD           , MONDEO   , 2.5 V6 TREND CLIPPE,11,R              , BK5,nr15706,S7 ,INJ ,170,Yes
FORD           , MONDEO   , CLIPPER 1.8 GHIA   ,07,               , BK5,nr15707,S7 ,INJ ,110,Yes
FORD           , MONDEO   , CLIPPER1.8 AMBIENTE,07,               , BK5,nr15708,S7 ,INJ ,110,Yes
FORD           , TRANSIT  , 260CP TD100        ,07, FAEYABFAAA    , FTE,nr15709,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 260CP TD75         ,07, FAEYD3FAAA    , FTE,nr15710,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 260CP TD85         ,07, FAEYF3FAAA    , FTE,nr15711,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 280C TD100         ,07, FAEYABFABA    , FTE,nr15712,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 280C TD75          ,07, FAEYD3FABA    , FTE,nr15713,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 280C TD85          ,07, FAEYF3FABA    , FTE,nr15714,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 280M TD100         ,07, FAFYABFAEA    , FTE,nr15715,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 280M TD75          ,07, FAFYD3FAEA    , FTE,nr15716,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 280M TD85          ,07, FAFYF3FAEA    , FTE,nr15717,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 280MS TD100        ,07, FAFYABFAEA    , FTE,nr15718,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 280MS TD75         ,07, FAFYD3FAEA    , FTE,nr15719,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 280MS TD85         ,07, FAFYF3FAEA    , FTE,nr15720,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 300C TD100         ,07, FAEYABFACA    , FTE,nr15721,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 300C TD75          ,07, FAEYD3FABA    , FTE,nr15722,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 300C TD85          ,07, FAEYF3FACA    , FTE,nr15723,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 300L TD100         ,07, FAGYABFAKA    , FTE,nr15724,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 300L TD75          ,07, FAGYD3FAKA    , FTE,nr15725,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 300L TD85          ,07, FAGYF3FAKA    , FTE,nr15726,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 300LS TD100        ,07, FAGYABFAKA    , FTE,nr15727,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 300LS TD75         ,07, FAGYD3FAKA    , FTE,nr15728,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 300LS TD85         ,07, FAGYF3FAKA    , FTE,nr15729,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 300M TD100         ,07, FAFYABFAFA    , FTE,nr15730,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 300M TD75          ,07, FAFYD3FAFA    , FTE,nr15731,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 300M TD85          ,07, FAFYF3FAFA    , FTE,nr15732,S7 ,DITU,085,Yes
FORD           , TRANSIT  , 300MS TD100        ,07, FAFYABFAFA    , FTE,nr15733,S7 ,DITU,100,Yes
FORD           , TRANSIT  , 300MS TD75         ,07, FAFYD3FAFA    , FTE,nr15734,S7 ,DITU,075,Yes
FORD           , TRANSIT  , 300MS TD85         ,07, FAFYF3FAFA    , FTE,nr15735,S7 ,DITU,085,Yes
HYUNDAI        , ACCENT   , 1.3 GL CLIM        ,06, LCADJN        , BE3,nr15736,   ,INJ ,086,Yes
HYUNDAI        , ACCENT   , 1.3 GL CLIM        ,06, LCCDJN        , BE5,nr15737,   ,INJ ,086,Yes
HYUNDAI        , COUPE    , 1.6 FX CLIM        ,07, RDCR11L1SHMQM , CPE,nr15738,   ,INJ ,114,Yes
HYUNDAI        , COUPE    , 2.0 JVC JAZZ FESTIV,09,ARDCF11L1DGMHM , CPE,nr15739,   ,INJ ,139,Yes
HYUNDAI        , ELANTRA  , 2.0 CRDI GLS CONFOR,07,TXDARM         , BE4,nr15740,   ,DITU,112,Yes
HYUNDAI        , ELANTRA  , 2.0 CRDI GLS CONFOR,07,TXDBRM         , BE5,nr15741,   ,DITU,112,Yes
HYUNDAI        , GALLOPER , 2.5TD GL INTERCOOLE,08,R              , BK3,nr15742,   ,DITU,100,Yes
HYUNDAI        , GALLOPER , 2.5TD GL INTERCOOLE,08,R              , BK5,nr15743,   ,DITU,100,Yes
HYUNDAI        , GALLOPER , 2.5TD GLX INTERCOOL,08,E              , BK3,nr15744,   ,DITU,100,Yes
HYUNDAI        , GALLOPER , 2.5TD GLX INTERCOOL,08,E              , BK5,nr15745,   ,DITU,100,Yes
HYUNDAI        , SANTA FE , 2.0 CRDI 4WD GLS CO,08,NSMV2DA        , BK5,nr15746,   ,DITU,112,Yes
HYUNDAI        , TRAJET   , 2.0 CRDI GLS CONFOR,07,TFOVD          , BK5,nr15747,   ,DITU,112,Yes
ISUZU          , SERIE N  , NKR 55 EAL         ,09, R553524N      , FTE,nr15748,   ,DITU,095,Yes
ISUZU          , SERIE N  , NKR 55 LL          ,09, R553533N      , FTE,nr15749,   ,DITU,095,Yes
ISUZU          , SERIE N  , NPR 55 GL          ,09, R553527L      , FTE,nr15750,   ,DITU,095,Yes
ISUZU          , SERIE N  , NPR 55 LL          ,09, R553533L      , FTE,nr15751,   ,DITU,095,Yes
LAND ROVER     , FREELANDE,RV6 SE              ,13,               , BK3,nr15752,S7 ,INJ ,177,Yes
LAND ROVER     , FREELANDE,RV6 SE              ,13,               , BK5,nr15753,S7 ,INJ ,177,Yes
LAND ROVER     , FREELANDE,RV6 SX              ,13,               , BK3,nr15754,S7 ,INJ ,177,Yes
LAND ROVER     , FREELANDE,RV6 SX              ,13,               , BK5,nr15755,S7 ,INJ ,177,Yes
MERCEDES       , CLASSE C , C180 AVANTGARDE    ,09,               , BE4,nr15756,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 AVANTGARDE BA ,09,               , BE4,nr15757,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 AVANTGARDE PK ,09,L              , BE4,nr15758,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 AVANTGARDE PKL,09,               , BE4,nr15759,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 CLASSIC       ,09,               , BE4,nr15760,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 CLASSIC BA    ,09,               , BE4,nr15761,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 ELEGANCE      ,09,               , BE4,nr15762,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 ELEGANCE BA   ,09,               , BE4,nr15763,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 ELEGANCE PK LU,09,X              , BE4,nr15764,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C180 ELEGANCE PKL B,09,A              , BE4,nr15765,S7 ,INJ ,129,Yes
MERCEDES       , CLASSE C , C270CDI AVANTGARDE ,10,               , BE4,nr15766,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI AVANTGARDE ,10,B              , BE4,nr15767,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI AVANTGARDE ,10,P              , BE4,nr15768,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI AVANTGARDE ,10,P              , BE4,nr15769,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI CLASSIC    ,10,               , BE4,nr15770,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI CLASSIC BA ,10,               , BE4,nr15771,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI ELEGANCE   ,10,               , BE4,nr15772,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI ELEGANCE BA,10,               , BE4,nr15773,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI ELEGANCE PK,10,               , BE4,nr15774,S7 ,DITU,170,Yes
MERCEDES       , CLASSE C , C270CDI ELEGANCE PK,10,L              , BE4,nr15775,S7 ,DITU,170,Yes
NISSAN         , MICRA    , 1.0 JADE           ,04, EAAK11        , BE3,nr15776,S7 ,INJ ,060,Yes
NISSAN         , MICRA    , 1.0 JADE           ,04, FAAK11        , BE5,nr15777,S7 ,INJ ,060,Yes
OPEL           , SPEEDSTER, 2.2 16V            ,09,               , CAB,nr15778,   ,INJ ,147,Yes
OPEL           , VECTRA   , 1.816V EXECUTIVE GP,07,S              , BE4,nr15779,S7 ,INJ ,115,Yes
OPEL           , VECTRA   , 1.816V EXECUTIVE GP,08,S              , BE4,nr15780,S7 ,INJ ,115,Yes
OPEL           , VECTRA   , 1.816V EXECUTIVE GP,07,S              , BE5,nr15781,S7 ,INJ ,115,Yes
OPEL           , VECTRA   , 1.816V EXECUTIVE GP,08,S              , BE5,nr15782,S7 ,INJ ,115,Yes
