code régime;caisse gestionnaire;centre gestionnaire;libellé;régime;organisme destinataire;code centre informatique;adresse 1;adresse 2;commune;code postal;cédex;téléphone;fax
02;815;0000;ALBI;Régime Agricole;811;821;14, rue de Ciron;;ALBI;81017;CEDEX 9;05 63 68 40 40;05 63 68 40 99
01;811;0000;ALBI;Régime Général;811;002;5 Place Lapérouse;;ALBI;81016;CEDEX 9;0 811 709 081;0563487057
02;611;0000;ALENCON;Régime Agricole;611;351;52, bd. du 1er Chasseurs;;ALENCON;61011;CEDEX;02 33 31 40 00;02 33 31 41 97
02;612;0000;ALENCON;Régime Agricole;612;351;33, rue de Bretagne;;ALENCON;61015;CEDEX;02 33 26 79 40;
02;615;0000;ALENCON;Régime Agricole;611;351;52, bd. du 1er Chasseurs;;ALENCON;61011;CEDEX;02 33 31 40 00;02 33 31 41 97
01;611;0000;ALENCON;Régime Général;611;001;34, Place du Général Bonet;;ALENCON;61012;CEDEX;0 820 904 161;02 33 32 36 40
02;801;0000;AMIENS;Régime Agricole;801;591;27. rue Frédéric Petit;;AMIENS;80019;CEDEX 9;03.22.82.62.62 ;03.22.82.63.05
02;802;0000;AMIENS;Régime Agricole;802;591;1, rue de l'Amiral Lejeune;;AMIENS;80055;CEDEX 1;03 22 72 37 60;0322912677
02;805;0000;AMIENS;Régime Agricole;801;591;27. rue Frédéric Petit;;AMIENS;80019;CEDEX 9;03.22.82.62.62 ;03.22.82.63.05
01;801;0000;AMIENS;Régime Général;801;011;642 rue de Cagny;;AMIENS;80033;CEDEX;03 22 97 50 00;
02;491;0000;ANGERS;Régime Agricole;491;351;3, RUE CHARLES LACRETELLE;BEAUCOUZE;ANGERS;49938;CEDEX 9;02.41.31.75.75;02.41.31.78.62
02;492;0000;ANGERS;Régime Agricole;492;351;1, rue Francis Meilland;;ANGERS;49044;CEDEX 01;02 41 47 96 39;
02;495;0000;ANGERS;Régime Agricole;491;351;3, RUE CHARLES LACRETELLE;BEAUCOUZE;ANGERS;49938;CEDEX 9;02.41.31.75.75;02.41.31.78.62
01;161;0000;ANGOULEME;Régime Général;161;008;Boulevard de Bury;;ANGOULEME;16910;CEDEX 9;0820904143;0545943609
02;161;0000;ANGOULEME;Régime Agricole;161;821;Rue du Docteur Charles-Duroselle;;ANGOULEME;16016;CEDEX;05.45.97.80.80;05.45.92.62.38
02;162;0000;ANGOULEME;Régime Agricole;162;752;15, boulevard de Bury;;ANGOULEME;16021;CEDEX;05 45 68 70 23;
02;165;0000;ANGOULEME;Régime Agricole;161;821;Rue du Docteur Charles-Duroselle;;ANGOULEME;16016;CEDEX;05.45.97.80.80 ;05.45.92.62.38
02;741;0000;ANNECY;Régime Agricole;741;381;2, bd. du Fier;;ANNECY;74993;CEDEX;09 69 36 87 00 ;04 50 57 92 92
02;745;0000;ANNECY;Régime Agricole;741;381;2, bd. du Fier;;ANNECY ;74993;CEDEX;09 69 36 87 00;04 50 57 92 92
01;741;0000;ANNECY;Régime Général;741;016;Service Informatique de Production;2 rue Robert Schuman;ANNECY;74984;CEDEX 9;04 50 88 68 18;04 50 88 52 74
01;071;0000;ANNONAY;Régime Général;071;016;27, Avenue de l'Europe;;ANNONAY;07108;CEDEX;04 75 69 13 24;04 75 67 07 78
01;591;0000;ARMENTIERES;Régime Général;591;011;6, Rue des Nieulles;BP 121;ARMENTIERES;59428;CEDEX;03 20 44 39 39;
02;621;0000;ARRAS;Régime Agricole;621;591;1. rue A. Gatoux;;ARRAS;62024;CEDEX;03.21.24.60.62 ;03.21.24.60.84
02;622;0000;ARRAS;Régime Agricole;622;591;7, rue du Cardinal;;ARRAS;62012;CEDEX;03 21 51 49 24;
02;625;0000;ARRAS;Régime Agricole;621;591;1. rue A. Gatoux;;ARRAS;62024;CEDEX;03.21.24.60.62 ;03.21.24.60.84
01;621;0000;ARRAS;Régime Général;621;011;Boulevard Allende;;ARRAS;62014;CEDEX;03 21 22 96 13;
01;321;0000;AUCH;Régime Général;321;002;11, Rue de Châteaudun;;AUCH;32012;CEDEX;0 820 904 134;05 62 61 61 78
02;321;0000;AUCH;Régime Agricole;321;321;21. Avenue de la Marne;;AUCH;32018;CEDEX;05.62.60.30.09;05.62.60.30.07
02;322;0000;AUCH;Régime Agricole;322;321;9, place Jean David;;AUCH;32000;;05 62 05 38 56;
02;325;0000;AUCH;Régime Agricole;321;321;21. Avenue de la Marne;;AUCH;32018;CEDEX;05.62.60.30.39 ;05.62.60.30.07
01;151;0000;AURILLAC;Régime Général;151;016;15, Rue Pierre Marty;;AURILLAC;15010;CEDEX;04 71 46 57 00;
02;982;0000;AURILLAC;Régime Agricole;982;351;Plateforme AAEXA / Parc d'activité de Tronquières;14 avenue du Garric;AURILLAC;15000;;04 71 63 85 44;04 71 63 85 46
02;151;0000;AURILLAC;Régime Agricole;151;381;9. rue Jean-de-Bonnefon;B.P. 72 ;AURILLAC;15011;CEDEX;04.71.64.49.37 ;04.71.64.49.51
02;155;0000;AURILLAC;Régime Agricole;151;381;9. rue Jean-de-Bonnefon;B.P. 72 ;AURILLAC;15011;CEDEX;04.71.64.49.37 ;04.71.64.49.51
02;891;0000;AUXERRE;Régime Agricole;891;541;14bis. rue Georges Guynemer;B.P. 95 ;AUXERRE;89001;CEDEX;03.86.47.37.00 ;03.86.47.37.01
02;892;0000;AUXERRE;Régime Agricole;892;541;18, rue Jules Ferry;;AUXERRE;89000;;03 86 46 16 40;
02;895;0000;AUXERRE;Régime Agricole;891;541;14bis. rue Georges Guynemer;B.P. 95 ;AUXERRE;89001;CEDEX;03.86.47.37.00;03.86.47.37.01
01;891;0000;AUXERRE;Régime Général;891;010;1 et 3, Rue du Moulin;;AUXERRE;89024;CEDEX;0 820 904 167;03 86 83 42 99
03;047;3100;AVENIR SANTE MUTUELLE;Régime Social des Indépendants - RSI;180;002;12, avenue du Général Mangin;;VERSAILLES;78027;CEDEX;01.39.55.87.86;
03;050;3100;AVENIR SANTE MUTUELLE;Régime Social des Indépendants - RSI;158;002;12, avenue du Général Mangin;;VERSAILLES ;78027;CEDEX;01.39.55.87.86;
03;046;3100;AVENIR SANTE MUTUELLE;Régime Social des Indépendants - RSI;208;002;12 AVENUE DU GENERAL MANGIN;;VERSAILLES;78027;CEDEX;01.39.23.39.39;
03;048;3100;AVENIR SANTE MUTUELLE;Régime Social des Indépendants - RSI;212;002;12 AVENUE DU GENERAL MANGIN;;VERSAILLES;78027;CEDEX;01.39.23.39.39;
03;052;3100;AVENIR SANTE MUTUELLE;Régime Social des Indépendants - RSI;216;002;12 AVENUE DU GENERAL MANGIN;;VERSAILLES;78027;CEDEX;01.39.23.39.39;01.30.97.78.97
02;841;0000;AVIGNON;Régime Agricole;841;341;1. place des Maraîchers;;AVIGNON;84056;;04.90.13.66.66 ;04.90.87.72.05
02;842;0000;AVIGNON;Régime Agricole;842;752;3, avenue Alphonse Daudet;BP 137;LE PONTET;84961;CEDEX;04 90 32 22 57;
02;845;0000;AVIGNON;Régime Agricole;841;341;1. place des Maraîchers;;AVIGNON;84056;;04.90.13.66.66 ;04.90.87.72.05
01;841;0000;AVIGNON;Régime Général;841;021;7, Rue François 1er;;AVIGNON;84043;CEDEX 9;0 811 709 084;
01;551;0000;BAR LE DUC;Régime Général;551;013;1, Rue de Polval;Case off. n°9;BAR le DUC;55015;CEDEX;0 820 904 165;
01;202;0000;BASTIA;Régime Général;202;021;5 avenue Jean Zuccarelli;;BASTIA;20406;CEDEX;36.46;
01;641;0000;BAYONNE;Régime Général;641;005;68-72, Allées Marines;;BAYONNE;64111;CEDEX;05 59 52 73 00;
02;601;0000;BEAUVAIS;Régime Agricole;601;591;8. avenue Victor Hugo;B.P. 70828;BEAUVAIS;60010;CEDEX;03.44.06.81.00 ;03.44.06.81.01
02;605;0000;BEAUVAIS;Régime Agricole;601;591;8. avenue Victor Hugo;B.P. 328-1 ;BEAUVAIS;60010;CEDEX;03.44.06.81.00 ;03.44.06.81.01
01;901;0000;BELFORT;Régime Général;901;010;12, Rue du Général Strolz;;BELFORT;90021;CEDEX;03 84 46 53 53;
02;251;0000;BESANCON;Régime Agricole;251;541;13. avenue Elisée-Cusenier;;BESANCON;25090;CEDEX 9 ;03.81.65.60.60 ;03.81.65.60.09
02;252;0000;BESANCON;Régime Agricole;252;541;3, rue Voirin;;BESANCON;25000;;03 81 81 72 33;
02;255;0000;BESANCON;Régime Agricole;251;541;13. avenue Elisée-Cusenier;;BESANCON;25090;CEDEX 9 ;03.81.65.60.60 ;03.81.65.60.09
01;341;0000;BEZIERS;Régime Général;341;002;Place du Général de Gaulle;BP 743;BEZIERS;34523;CEDEX;04 67 49 72 72;
01;411;0000;BLOIS;Régime Général;411;008;6, Rue Louis Armand;;BLOIS;41022;CEDEX;36 46;02.54.50.16.24
02;411;0000;BLOIS;Régime Agricole;411;411;MSA Berry Touraine 19 Avenue de Vendôme;CS 72301;BLOIS;41023;CEDEX;02 54 44 87 87;02 54 74 82 97
02;412;0000;BLOIS;Régime Agricole;412;411;12, bis avenue Vendôme;;BLOIS;41000;;02 54 78 36 41;
02;415;0000;BLOIS;Régime Agricole;411;411;19. avenue de Vendôme;;BLOIS;41023;CEDEX;02.54.44.87.87 ;02.54.74.82.97
01;931;0000;BOBIGNY;Régime Général;931;004;195, Avenue Paul Vaillant Couturier;;BOBIGNY;93014;CEDEX;01 48 96 48 48;
02;761;0000;BOIS GUILLAUME;Régime Agricole;761;591;Cité de l'Agriculture;;BOIS-GUILLAUME ;76236;CEDEX;02.35.12.71.69;02.35.61.59.55
02;765;0000;BOIS GUILLAUME;Régime Agricole;761;591;Cité de l'Agriculture;;BOIS-GUILLAUME ;76236;CEDEX;02.35.12.71.69;02.35.61.59.55
01;331;0000;BORDEAUX;Régime Général;331;005;Cité du Grand Parc;Place de l'Europe;BORDEAUX;33085;CEDEX;3646;05 56 11 54 15
02;331;0000;BORDEAUX;Régime Agricole;331;331;13. rue Ferrère;;BORDEAUX;33052;CEDEX;05.56.01.83.83 ;05.56.79.35.98
02;332;0000;BORDEAUX;Régime Agricole;332;331;Immeuble Aquitaine;Rue du Corps Franc Pommiès;BORDEAUX;33087;CEDEX;05 56 96 15 90;
02;335;0000;BORDEAUX;Régime Agricole;331;331;13. rue Ferrère;;BORDEAUX;33052;CEDEX;05.56.01.83.83 ;05.56.79.35.98
01;622;0000;BOULOGNE SUR MER;Régime Général;622;011;47, Boulevard Mariette;BP 489;BOULOGNE sur MER;62321;CEDEX;03 21 87 70 00;03 21 87 70 46
01;011;0000;BOURG EN BRESSE;Régime Général;011;016;1 Place de la Grenouillère;;BOURG en BRESSE;01015;CEDEX;3646;04 74 45 84 00
02;011;0000;BOURG EN BRESSE;Régime Agricole;011;011;15, avenue du Champs de Foire;;Bourg en Bresse ;01059;CEDEX 9 ;04 74 45 99 00 ;04 74 45 98 98
02;015;0000;BOURG EN BRESSE;Régime Agricole;011;011;15, avenue du Champs de Foire;;Bourg en Bresse ;01059;Cédex 9 ;04 74 45 99 00;04 74 45 98 98
01;181;0000;BOURGES;Régime Général;181;008;Boulevard de la République;;BOURGES;18030;CEDEX 9;0 820 904 180;02 48 55 49 62
02;181;0000;BOURGES;Régime Agricole;181;591;7. rue de l'Ile-d'Or;B.P. 133 ;BOURGES;18032;CEDEX;02.48.55.40.40 ;02.48.55.40.02
02;182;0000;BOURGES;Régime Agricole;182;591;23 place St Charles;;ORLEANS;45918;CEDEX 9;02 38 24 96 18;
02;185;0000;BOURGES;Régime Agricole;181;591;7. rue de l'Ile-d'Or;B.P. 133 ;BOURGES;18032;CEDEX;02.48.55.40.40 ;02.48.55.40.02
02;292;0000;BREST;Régime Agricole;292;351;Immeuble Kervor  Port de Commerce;310 rue Ernest Heminguay  CS 11815;BREST;29218;CEDEX 1;02 98 30 32 57;
03;033;3200;C.M.P.A.C.N. RADIANCE (NORD);Régime Social des Indépendants - RSI;112;001;;;;;;;
16;331;0000;C.P du personnel du Port de Bordeaux;Caisse de Prévoyance du Personnel titulaire du Port Autonome de Bordeaux;331;001;152, quai de bacalan;BP 350 ;Bordeaux;33042;Cedex;05-56-90-59-20;
03;013;5800;C.P.S.A.C. de L INDRE (CENTRE);Régime Social des Indépendants - RSI;050;001;;;;;;;
01;141;0000;CAEN;Régime Général;141;001;Boulevard du Général Weygand;BP 6048;CAEN;14031;CEDEX;02 31 45 71 20;02 31 15 18 53
02;141;0000;CAEN;Régime Agricole;141;351;37. rue de Maltot;;CAEN;14026;CEDEX;02.31.25.39.39 ;02.31.25.39.79
02;142;0000;CAEN;Régime Agricole;142;351;12, rue du Clos Herbert;;CAEN;14052;CEDEX;02 31 43 56 94;
02;145;0000;CAEN;Régime Agricole;141;351;37. rue de Maltot;;CAEN;14026;CEDEX;02.31.25.39.39 ;02.31.25.39.79
01;461;0000;CAHORS;Régime Général;461;002;238 rue Hautesserre;;CAHORS;46015;CEDEX 9;05 65 20 40 40;
02;461;0000;CAHORS;Régime Agricole;461;821;Rue du Pape Jean XXIII;B.P. 279 ;CAHORS;46014;CEDEX;05.65.35.43.82 ;05.65.22.18.73
02;465;0000;CAHORS;Régime Agricole;461;821;Rue du Pape Jean XXIII;B.P. 279 ;CAHORS ;46014;CEDEX;05.65.35.43.82 ;05.65.22.18.73
90;100;0000;Caisse d assurance Vieillesse Invalidite et Maladie des cultes;Caisse d'Assurance Vieillesse Invalidité et Maladie des Cultes - CAVIMAC;100;004;9, rue de Rosny;;MONTREUIL-SOUS-BOIS;93100;;01 41 58 45 45;
90;100;0011;Caisse d assurance Vieillesse Invalidite et Maladie des cultes;Caisse d'Assurance Vieillesse Invalidité et Maladie des Cultes - CAVIMAC;100;004;9, rue de Rosny;;MONTREUIL-SOUS-BOIS;93100;;01 41 58 45 45;
05;051;0000;Caisse de Coordination aux Assurances Sociales (CCAS);Régime Spécial de la RATP;051;001;CH30  LAC GR1;30 rue Championnet;PARIS;75887;CEDEX 18;;
04;110;0000;Caisse de Prevoyance;Caisses de Prévoyance et de Retraite de la SNCF - CPR SNCF;110;001;17 avenue du général Leclerc;;Marseille;13347;cedex 1;04.95.04.04.04;
10;980;2101;Caisse de Ret.et Prev. Clercs et Emp. Notaires;Caisse de Retraite et de Prévoyance des Clercs et Employés de Notaire - CRPCEN;980;004;5, bis rue de Madrid;;Paris;75395;Cedex 08;01 44 90 20 20;
01;999;0000;Caisse de TEST;(Aucun : serveur de test);999;999;;;;;;;
04;120;0000;Caisse des Cadres superieurs;Caisses de Prévoyance et de Retraite de la SNCF - CPR SNCF;110;001;17 avenue du général Leclerc;;Marseille ;13347;cedex 1;04.95.04.04.04;
04;220;0000;Caisse Maladie d Alsace Lorraine;Caisses de Prévoyance et de Retraite de la SNCF - CPR SNCF;110;001;17 avenue du général Leclerc;;Marseille ;13347;cedex 1;04.95.04.04.04;
01;592;0000;CAMBRAI;Régime Général;592;011;10, Rue Saint Lazare;;CAMBRAI;59408;CEDEX;03 27 73 59 59;
99;939;0603;CAMIEG;Sections Locales Mutalistes - SLM;939;038;;;NANTERRE;92011;;;
01;111;0000;CARCASSONNE;Régime Général;111;002;2, Allée de Bezons;;CARCASSONNE;11017;CEDEX 9;04 68 77 76 00;
02;111;0000;CARCASSONNE;Régime Agricole;111;821;6.  rue du Palais;B.P. 854 ;CARCASSONNE;11011;CEDEX;04.68.11.77.11 ;04.68.47.84.82
02;115;0000;CARCASSONNE;Régime Agricole;111;821;6.  rue du Palais;B.P. 854 ;CARCASSONNE;11011;CEDEX;04.68.11.77.11 ;04.68.47.84.82
01;973;0000;CAYENNE;Régime Général;973;026;Espace Turenne Radamonthe;Route de Raban;CAYENNE;97307;CEDEX;05 94 39 60 00;
01;951;0000;CERGY PONTOISE;Régime Général;951;036;Immeuble Les Marjoberts;2, Rue des Chauffours;CERGY-PONTOISE;95017;CEDEX;01 34 22 22 22;01 30 32 51 57
02;512;0000;CHALONS SUR MARNE;Régime Agricole;512;541;10, rue Gambetta;;CHALONS EN CHAMPAGNE;51042;CEDEX;03 26 68 65 85;
02;731;0000;CHAMBERY;Régime Agricole;731;381;106, rue Juiverie;;CHAMBERY;73016;CEDEX;09 69 36 87 00 ;04 79 69 42 24
02;735;0000;CHAMBERY;Régime Agricole;731;381;106, rue Juiverie;;CHAMBERY;73016;CEDEX;09 69 36 87 00 ;04 79 69 42 24
01;731;0000;CHAMBERY;Régime Général;731;025;5, Avenue Jean Jaurès;;CHAMBERY;73015;CEDEX;04 79 96 81 00;04 79 96 45 09
02;081;0000;CHARLEVILLE;Régime Agricole;081;541;30, Av. Jean-Jaurès;;CHARLEVILLE MEZIERES ;08108;;03 24 59 52 72 ;03 24 59 52 98
02;085;0000;CHARLEVILLE;Régime Agricole;081;541;30, Av. Jean-Jaurès;;CHARLEVILLE MEZIERES ;08108;;03 24 59 52 72 ;03 24 59 52 98
01;081;0000;CHARLEVILLE MEZIERES;Régime Général;081;013;14, Avenue G. Corneau;;CHARLEVILLE MEZIERES;08101;CEDEX;0 820 904 148;
01;281;0000;CHARTRES;Régime Général;281;008;11, Rue du Docteur André Haye;;CHARTRES;28034;CEDEX;0 820 904 101;
02;281;0000;CHARTRES;Régime Agricole;281;411;5. rue de Chanzy;;CHARTRES;28037;CEDEX;02.37.30.45.00 ;02.37.30.45.04
02;282;0000;CHARTRES;Régime Agricole;282;752;Espace Océam;53 avenue d'Orléans;CHARTRES;28038;CEDEX;02 37 84 14 30;
02;285;0000;CHARTRES;Régime Agricole;281;411;5. rue de Chanzy;;CHARTRES;28037;CEDEX;02.37.30.45.00 ;02.37.30.45.04
01;361;0000;CHATEAUROUX;Régime Général;361;008;14 rue Claude Nicolas Ledoux;;CHATEAUROUX;36026;CEDEX;0 820 904 181;02 54 07 37 48
02;361;0000;CHATEAUROUX;Régime Agricole;361;591;MSA Berry Touraine 19 Avenue de Vendôme;CS 72301;BLOIS;41023;CEDEX;02 54 44 87 87;02 54 74 82 97
02;362;0000;CHATEAUROUX;Régime Agricole;362;591;18, Place Gambetta;;CHATEAUROUX;36028;CEDEX;02 54 08 95 76;
02;365;0000;CHATEAUROUX;Régime Agricole;361;591;33-35. rue de Mousseaux;;CHATEAUROUX;36025;CEDEX;02.54.29.46.46 ;02.54.29.45.55
02;521;0000;CHAUMONT;Régime Agricole;521;541;4. avenue Emile-Cassez;B.P. 504 ;CHAUMONT;52017;CEDEX ;03.25.30.33.00 ;03.25.32.67.37
02;525;0000;CHAUMONT;Régime Agricole;521;541;4. avenue Emile-Cassez;B.P. 504 ;CHAUMONT;52017;CEDEX;03.25.30.33.00 ;03.25.32.67.37
01;521;0000;CHAUMONT;Régime Général;521;013;18, Bld Maréchal de Lattre de Tassigny;BP 2028;CHAUMONT;52915;CEDEX 9;03 25 02 85 85;
01;492;0000;CHOLET;Régime Général;492;023;2, Rue Saint Eloi;BP 311;CHOLET;49328;CEDEX;02 41 71 37 45;02 41 71 37 46
02;631;0000;CLERMONT FERRAND;Régime Agricole;631;381;75. Boulevard F. Mitterrand;;CLERMONT-FERRAND ;63041;CEDEX;04.73.43.75.00 ;04.73.43.75.11
02;635;0000;CLERMONT FERRAND;Régime Agricole;631;381;75. Boulevard F. Mitterrand;;CLERMONT-FERRAND ;63041;CEDEX;04.73.43.75.00 ;04.73.43.75.11
01;631;0000;CLERMONT FERRAND;Régime Général;631;016;Cité Administrative;Rue Pélissier;CLERMONT-FERRAND;63031;CEDEX 9;0820904145;0473425570
02;632;0000;CLERMONT-FERRAND;Régime Agricole;632;381;Résidence du Square;25, avenue Julien;CLERMONT-Fd;63037;CEDEX;04 73 34 79 52;
03;035;3100;CMP RADIANCE;Régime Social des Indépendants - RSI;115;001;Avenue Winston Churchill;;ARRAS ;62013;CEDEX ;03.21.23.83.00;
08;758;0200;CNMSS Agents caisse;Caisse Nationale Militaire de Sécurité Sociale - CNMSS;758;050;247 Avenue Jacques CARTIER;;TOULON;83090;Cedex 09;04 94 16 36 00;04 94 16 38 32
08;756;0100;CNMSS Assures militaires de carriere;Caisse Nationale Militaire de Sécurité Sociale - CNMSS;756;050;247  Avenue Jacques CARTIER;;TOULON;83090;Cedex 09;04 94 16 36 00;04 94 16 38 32
08;835;0300;CNMSS Soins gratuits-Art L115;Caisse Nationale Militaire de Sécurité Sociale - CNMSS;835;052;247 Avenue Jacques CARTIER;;TOULON;83090;Cedex 09;04 94 16 96 20;04 94 16 39 03
02;681;0000;COLMAR;Régime Agricole;681;541;9 , rue de Guebwiller;;COLMAR;68023;CEDEX;03.89.20.78.68;03.89.20.79.00
02;685;0000;COLMAR;Régime Agricole;681;541;9, rue de Guebwiller;;COLMAR;68023;CEDEX;03.89.20.78.68 ;03.89.20.79.00
01;681;0000;COLMAR;Régime Général;681;017;19, Boulevard du Champ de Mars;BP 40454;COLMAR;68022;CEDEX;03 89 21 78 23 / 24;03 89 21 77 04
99;861;0652;Communaux de la Vienne - COVIMUT;Sections Locales Mutalistes - SLM;862;137;5, rue des Carmes ;;POITIERS ;86036;CEDEX;;
01;021;0000;CPAM de l Aisne;Régime Général;021;011;2 rue Charles Péguy;;LAON;02009;CEDEX;0 820 904 229;03 23 26 23 16
01;072;0000;CPAM de l Ardeche;Régime Général;072;016;6, Avenue de l'Europe Unie;;PRIVAS;07007;CEDEX;04 75 66 52 22;04 75 66 52 09
01;624;0000;CPAM de l Artois;Régime Général;624;011;11 boulevard du Président Allendé;;ARRAS Cedex;62014;;03 21 14 07 10;03 21 14 05 74
01;342;0000;CPAM de l Herault;Régime Général;342;002;29, Cours Gambetta;;MONTPELLIER;34934;CEDEX 9;04 99 52 53 52;
01;381;0000;CPAM de l Isere;Régime Général;381;025;2, Rue des Alliés;;GRENOBLE;38045;CEDEX 9;04 76 68 50 50;04 76 68 50 48
01;601;0000;CPAM de l Oise;Régime Général;601;011;Rue de Savoie;;BEAUVAIS;60013;CEDEX;03 44 10 12 52;03 44 10 11 50
01;623;0000;CPAM de la Cote d Opale;Régime Général;623;011;35, Rue Descartes;;CALAIS;62108;CEDEX;03 21 46 84 00;03 21 97 81 47
01;422;0000;CPAM de la Loire;Régime Général;422;016;3, Avenue du Pdt Emile Loubet;;SAINT ETIENNE;42027;CEDEX 1;04 77 42 20 00;
01;595;0000;CPAM de Lille-Douai;Régime Général;595;011;2, Rue d'Iéna;BP 01;LILLE;59895;CEDEX 9;03 20 42 72 91;03 20 42 72 97
01;441;0000;CPAM de Loire-Atlantique;Régime Général;441;023;9, Rue Gaëtan Rondeau;;NANTES;44958;CEDEX 9;0811709044;
01;491;0000;CPAM de Maine et Loire;Régime Général;491;023;32 Rue Louis Gain;;ANGERS;49037;CEDEX 01;0820 904 158;02 41 81 76 00
01;542;0000;CPAM de Meurthe et Moselle;Régime Général;542;013;9, Boulevard Joffre;;NANCY;54047;CEDEX;03 83 85 50 00;03 83 32 27 19
01;571;0000;CPAM de Moselle;Régime Général;571;017;18-22, Rue Haute Seille;BP 21001;METZ;57751;CEDEX 9;03 87 39 36 36;
01;597;0000;CPAM de Roubaix-Tourcoing;Régime Général;597;011;6, Rue Rémi Cogghe;BP 769;ROUBAIX;59065;CEDEX 1;3646;
