DEBUTVALID;CODE_TIPS;NOM_COURT;TARIF;NAT_PREST;Famille
08/09/2003;2238792;VERRE BLANC MULTIFOCAL OU PROGRESSIF, < 18 ANS, SPHERE H.Z DE -4,00 A +4,00;43,3;VER;Frais d optique et d audioprothèse
08/09/2003;2238941;VERRE BLANC SIMPLE FOYER, < 18 ANS, CYLINDRE > +4,00, SPHERE DE  -6,00 A +6,00;27,9;VER;Frais d optique et d audioprothèse
08/09/2003;2240671;VERRE BLANC MULTIFOCAL OU PROGRESSIF, < 18 ANS, SPHERE DE -8,00 A +8,00;43,6;VER;Frais d optique et d audioprothèse
08/09/2003;2242457;VERRE TEINTE SIMPLE FOYER, < 18 ANS, SPHERE DE -6,00 A +6,00;12,04;VER;Frais d optique et d audioprothèse
08/09/2003;2243304;VERRE BLANC SIMPLE FOYER, < 18 ANS, SPHERE DE +6,25 A +10,00;26,68;VER;Frais d optique et d audioprothèse
08/09/2003;2243540;VERRE BLANC SIMPLE FOYER, < 18 ANS, SPHERE DE -6,25 A -10,00;26,68;VER;Frais d optique et d audioprothèse
08/09/2003;2245036;VERRE BLANC SIMPLE FOYER, < 18 ANS, CYLINDRE > +4,00, SPHERE H.Z -6,00 A +6,00;46,5;VER;Frais d optique et d audioprothèse
08/09/2003;2245384;VERRE BLANC MULTIFOCAL OU PROGRESSIF, > OU = 18 ANS, SPHERE H.Z DE -4,00 A +4,00;10,82;VER;Frais d optique et d audioprothèse
08/09/2003;2246716;SUPPLEMENT POUR SPHERES > 20 DIOPTRIES, < 18 ANS;13,72;VER;Frais d optique et d audioprothèse
08/09/2003;2247905;PRISME INCORPORE, > OU = 18 ANS;3,96;VER;Frais d optique et d audioprothèse
08/09/2003;2248320;VERRE TEINTE SIMPLE FOYER, < 18 ANS, SPHERE H.Z DE -10,00 A +10,00;44,97;VER;Frais d optique et d audioprothèse
08/09/2003;2251545;LENTILLE DE CONTACT, FORFAIT ANNUEL, PAR OEIL APPAREILLE;39,48;LEN;Frais d optique et d audioprothèse
08/09/2003;2252042;VERRE TEINTE MULTIFOCAL OU PROGRESSIF, >OU= 18 ANS, SPHERE H.Z DE -8,00 A +8,00;24,54;VER;Frais d optique et d audioprothèse
08/09/2003;2252668;VERRE TEINTE SIMPLE FOYER, > OU= 18 ANS, CYLINDRE >+4,00, SPHERE DE  -6,00/+6,00;6,25;VER;Frais d optique et d audioprothèse
08/09/2003;2254868;VERRE TEINTE SIMPLE FOYER, >OU=18 ANS,CYLINDRE <OU=+4,OO,SPHERE HZ -6,00 A +6,00;6,86;VER;Frais d optique et d audioprothèse
08/09/2003;2259245;VERRE  BLANC MULTIFOCAL OU PROGRESSIF, < 18 ANS, SPHERE DE -4,00 A +4,00;39,18;VER;Frais d optique et d audioprothèse
08/09/2003;2259660;VERRE TEINTE MULTI FOCAL OU PROGRESSIF, < 18 ANS, SPHERE H.Z DE -8,00 A +8,00;66,62;VER;Frais d optique et d audioprothèse
08/09/2003;2259966;VERRE BLANC SIMPLE FOYER, >OU =18 ANS,CYLINDRE <OU= +4,00, SPHERE -6,00 A +6,00;3,66;VER;Frais d optique et d audioprothèse
08/09/2003;2261874;VERRE BLANC SIMPLE FOYER, < 18 ANS, SPHERE DE -6,00 A +6,00;12,04;VER;Frais d optique et d audioprothèse
08/09/2003;2263459;VERRE TEINTE SIMPLE FOYER, > OU = 18 ANS, SPHERE DE -6,25 A -10,00;4,12;VER;Frais d optique et d audioprothèse
08/09/2003;2264045;VERRE TEINTE MULTI FOCAL OU PROGRESSIF, < 18 ANS, SPHERE DE -4,00 A +4,00;39,18;VER;Frais d optique et d audioprothèse
08/09/2003;2265330;VERRE TEINTE SIMPLE FOYER, > OU = 18 ANS, SPHERE DE +6,25 A +10,00;4,12;VER;Frais d optique et d audioprothèse
08/09/2003;2268385;VERRE TEINTE SIMPLE FOYER, < 18 ANS, CYLINDRE > +4,00, SPHERE DE  -6,00 A +6,00;27,9;VER;Frais d optique et d audioprothèse
08/09/2003;2269025;FILTRE D'OCCLUSION PARTIELLE, < 6 ANS;3,66;VER;Frais d optique et d audioprothèse
08/09/2003;2270413;VERRE TEINTE SIMPLE FOYER, <18 ANS, CYLINDRE <OU= +4,00, SPHERE DE -6,00 A +6,00;14,94;VER;Frais d optique et d audioprothèse
08/09/2003;2273854;VERRE BLANC SIMPLE FOYER, < 18 ANS, SPHERE H.Z DE -10,00 A +10,00;44,97;VER;Frais d optique et d audioprothèse
08/09/2003;2274109;SUPPLEMENT POUR SPHERES > A 20 DIOPTRIES, > OU = 18 ANS;3,5;VER;Frais d optique et d audioprothèse
08/09/2003;2278219;VERRES ISEICONIQUES, > OU = 18 ANS, SUR DEVIS;0;VER;Frais d optique et d audioprothèse
08/09/2003;2280660;VERRE BLANC SIMPLE FOYER, > OU = 18 ANS, SPHERE DE +6,25 A +10,00;4,12;VER;Frais d optique et d audioprothèse
08/09/2003;2282221;VERRE TEINTE MULTI FOCAL OU PROGRESSIF, < 18 ANS, SPHERE DE -8,00 A +8,00;43,6;VER;Frais d optique et d audioprothèse
08/09/2003;2282793;VERRE BLANC SIMPLE FOYER, > OU = 18 ANS, SPHERE DE -6,25 A -10,00;4,12;VER;Frais d optique et d audioprothèse
08/09/2003;2283953;VERRE BLANC SIMPLE FOYER,< 18 ANS,CYLINDRE < OU = +4,00,SPHERE H.Z -6,00 A +6,00;36,28;VER;Frais d optique et d audioprothèse
08/09/2003;2284527;VERRE BLANC SIMPLE FOYER,>OU= 18 ANS,CYLINDRE <OU=+4,00,SPHERE H.Z -6,00 A +6,00;6,86;VER;Frais d optique et d audioprothèse
08/09/2003;2287862;PRISME INCORPORE, < 18 ANS;16,01;VER;Frais d optique et d audioprothèse
08/09/2003;2287916;VERRE TEINTE SIMPLE FOYER, > OU = 18 ANS, SPHERE DE -6,00 A +6,00;2,29;VER;Frais d optique et d audioprothèse
08/09/2003;2288519;VERRE BLANC SIMPLE FOYER , >OU=18 ANS, CYLINDRE >+4,00, SPHERE H.Z -6,00 A +6,00;9,45;VER;Frais d optique et d audioprothèse
08/09/2003;2290396;VERRE BLANC MULTIFOCAL OU PROGRESSIF, > OU = 18 ANS, SPHERE DE -4,00 A +4,00;7,32;VER;Frais d optique et d audioprothèse
08/09/2003;2291088;VERRE TEINTE SIMPLE FOYER, < 18 ANS, SPHERE DE +6,25 A +10,00;26,68;VER;Frais d optique et d audioprothèse
08/09/2003;2291183;VERRE TEINTE MULTIFOCAL OU PROGRESSIF, > OU = 18 ANS, SPHERE DE -4,00 A +4,00;7,32;VER;Frais d optique et d audioprothèse
08/09/2003;2293957;SYSTEME ANTIPTOSIS, < 18 ANS;77,29;VER;Frais d optique et d audioprothèse
08/09/2003;2295198;VERRE TEINTE MULTIFOCAL OU PROGRESSIF, >OU= 18 ANS, SPHERE H.Z DE -4,00 A +4,00;10,82;VER;Frais d optique et d audioprothèse
08/09/2003;2295896;VERRE TEINTE SIMPLE FOYER, > OU = 18 ANS, SPHERE H.Z DE -10,00 A +10,00;7,62;VER;Frais d optique et d audioprothèse
08/09/2003;2297441;VERRE TEINTE SIMPLE FOYER, < 18 ANS, SPHERE DE -6,25 A -10,00;26,68;VER;Frais d optique et d audioprothèse
08/09/2003;2299180;VERRE TEINTE MULTIFOCAL OU PROGRESSIF, > OU = 18 ANS, SPHERE DE  -8,00 A +8,00;10,37;VER;Frais d optique et d audioprothèse
08/09/2003;2299523;VERRE TEINTE SIMPLE FOYER , >OU=18 ANS, CYLINDRE >+4,00,SPHERE H.Z -6,00 A +6,00;9,45;VER;Frais d optique et d audioprothèse
08/09/2003;2300025;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX Q 9;880,09;PAU;Frais d optique et d audioprothèse
08/09/2003;2300090;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON DIGITALIS 411-DSP;1247,03;PAU;Frais d optique et d audioprothèse
08/09/2003;2300290;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, DANAVOX 131 CD;737,09;PAU;Frais d optique et d audioprothèse
08/09/2003;2300427;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON DIGILIFE COM;1103,88;PAU;Frais d optique et d audioprothèse
08/09/2003;2300462;AUDIOPROTHESE, < 20 ANS OU CECITE, RESOUND VIENNATONE, RESOUND BTP;963,94;PAU;Frais d optique et d audioprothèse
08/09/2003;2300568;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON 331 DEQ II PRO;868,2;PAU;Frais d optique et d audioprothèse
08/09/2003;2300947;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK CLASSICA PPCP;659,65;PAU;Frais d optique et d audioprothèse
08/09/2003;2300953;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, BERNAFON OPUS 2 SUPER POWER;760,72;PAU;Frais d optique et d audioprothèse
08/09/2003;2301131;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON ERGO ITE;920,33;PAU;Frais d optique et d audioprothèse
08/09/2003;2301645;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON ISTD;605,53;PAU;Frais d optique et d audioprothèse
08/09/2003;2301757;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX L 12;820,48;PAU;Frais d optique et d audioprothèse
08/09/2003;2302024;AUDIOPROTHESE, BOITIER, < 20 ANS OU CECITE, JOUVE, R.JOUVE, ADAPTON 3;837,55;PAU;Frais d optique et d audioprothèse
08/09/2003;2302053;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK NOVO FORTE E 4;1094,89;PAU;Frais d optique et d audioprothèse
08/09/2003;2302060;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, BERNAFON OPUS 2 MINI;776,27;PAU;Frais d optique et d audioprothèse
08/09/2003;2302136;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK EPICA E 2;1003,88;PAU;Frais d optique et d audioprothèse
08/09/2003;2302277;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS M 71-O;779,47;PAU;Frais d optique et d audioprothèse
08/09/2003;2302722;AUDIOPROTHESE, < 20 ANS OU CECITE, BIOTONE, REXTON HORIZON 2 PRO +;958,45;PAU;Frais d optique et d audioprothèse
08/09/2003;2303064;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK 21 DAZ;1425,86;PAU;Frais d optique et d audioprothèse
08/09/2003;2303785;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 SEQUEL MMP;1016,99;PAU;Frais d optique et d audioprothèse
08/09/2003;2303880;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 SEQUEL AV MMP;1006,93;PAU;Frais d optique et d audioprothèse
08/09/2003;2303992;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK SONO FORTE 2 P 3 AZ;1094,89;PAU;Frais d optique et d audioprothèse
08/09/2003;2304135;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE 130;647,45;PAU;Frais d optique et d audioprothèse
08/09/2003;2304201;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, ISO-SONIC C 103 H-AGC;686,17;PAU;Frais d optique et d audioprothèse
08/09/2003;2304388;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY D. L.;872,62;PAU;Frais d optique et d audioprothèse
08/09/2003;2304951;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK 22;1363,2;PAU;Frais d optique et d audioprothèse
08/09/2003;2304974;AUDIOPROTHESE, < 20 ANS OU CECITE, NEWSON, NEWSON ES DYNAMIC PRO;941,53;PAU;Frais d optique et d audioprothèse
08/09/2003;2305324;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK 311 DAZ;1415,03;PAU;Frais d optique et d audioprothèse
08/09/2003;2305910;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON ESTEEM C;679,62;PAU;Frais d optique et d audioprothèse
08/09/2003;2306246;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS S 1695;747,61;PAU;Frais d optique et d audioprothèse
08/09/2003;2306312;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO FORTE SCD 2;819,26;PAU;Frais d optique et d audioprothèse
08/09/2003;2306513;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS TRITON 3004;920,49;PAU;Frais d optique et d audioprothèse
08/09/2003;2306832;AUDIOPROTHESE, ENTRETIEN ET REPARATIONS, < 2 ANS, EMBOUT;53,36;PAU;Frais d optique et d audioprothèse
08/09/2003;2306915;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 19;1170,35;PAU;Frais d optique et d audioprothèse
08/09/2003;2307056;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, BERNAFON SMILE 110;1152,97;PAU;Frais d optique et d audioprothèse
08/09/2003;2307429;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY TCD;847,31;PAU;Frais d optique et d audioprothèse
08/09/2003;2307671;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO SONIC, SONIC INNOVATIONS 2 SE-B;1126,14;PAU;Frais d optique et d audioprothèse
08/09/2003;2307777;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO FORTE PPSC;803,71;PAU;Frais d optique et d audioprothèse
08/09/2003;2308140;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON TWIST 49 P-AI;779,47;PAU;Frais d optique et d audioprothèse
08/09/2003;2308914;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, BERNAFON SMILE 111;1211,51;PAU;Frais d optique et d audioprothèse
08/09/2003;2309010;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON DIGI FOCUS DFI;1242,92;PAU;Frais d optique et d audioprothèse
08/09/2003;2309807;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO SCH;751,88;PAU;Frais d optique et d audioprothèse
08/09/2003;2310101;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 SEQUEL MC PRG;918,96;PAU;Frais d optique et d audioprothèse
08/09/2003;2310124;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, SONAR 8270;1024,46;PAU;Frais d optique et d audioprothèse
08/09/2003;2310130;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS 4 D;1367,47;PAU;Frais d optique et d audioprothèse
08/09/2003;2310348;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON PERSONIC 410;650,35;PAU;Frais d optique et d audioprothèse
08/09/2003;2310354;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE X 130 DUO;725,2;PAU;Frais d optique et d audioprothèse
08/09/2003;2310443;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 SAMP;783,44;PAU;Frais d optique et d audioprothèse
08/09/2003;2310450;AUDIOPROTHESE, < 20 ANS OU CECITE, MINITONE, MINITONE DYNAMIC II PRO 13;962,11;PAU;Frais d optique et d audioprothèse
08/09/2003;2310472;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON SOUND FX PRO V 1;899,75;PAU;Frais d optique et d audioprothèse
08/09/2003;2310644;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS P 60 PP;756,45;PAU;Frais d optique et d audioprothèse
08/09/2003;2310696;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND BZ 5;1187,43;PAU;Frais d optique et d audioprothèse
08/09/2003;2310710;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON PRIMO FOCUS COMPACT;788,77;PAU;Frais d optique et d audioprothèse
08/09/2003;2310816;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON DIAMANT 46 PPAGCI;620,62;PAU;Frais d optique et d audioprothèse
08/09/2003;2311069;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND BT 4;1114,25;PAU;Frais d optique et d audioprothèse
08/09/2003;2311282;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE OPERA + IC;824,9;PAU;Frais d optique et d audioprothèse
08/09/2003;2311419;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO FORTE 3 PP CP;702,18;PAU;Frais d optique et d audioprothèse
08/09/2003;2311804;AUDIOPROTHESE, < 20 ANS OU CECITE, NEWSON, A & M HEARING LTD AM 800 PRO;972,62;PAU;Frais d optique et d audioprothèse
08/09/2003;2312034;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON ESTEEM KAMP;705,84;PAU;Frais d optique et d audioprothèse
08/09/2003;2312100;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 SEQUEL MC MMP;977,81;PAU;Frais d optique et d audioprothèse
08/09/2003;2312152;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK AUDINET PP CS;709,5;PAU;Frais d optique et d audioprothèse
08/09/2003;2312169;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE OPTIMA KAMP;813,16;PAU;Frais d optique et d audioprothèse
08/09/2003;2312206;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND CC 4;1149,16;PAU;Frais d optique et d audioprothèse
08/09/2003;2312301;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND 2000 BT;1258,92;PAU;Frais d optique et d audioprothèse
08/09/2003;2312927;AUDIOPROTHESE, ENTRETIEN ET REPARATIONS, >OU= 2 ANS & < 20 ANS OU CECITE, EMBOUT;53,36;PAU;Frais d optique et d audioprothèse
08/09/2003;2313298;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS P 21-O;775,66;PAU;Frais d optique et d audioprothèse
08/09/2003;2313690;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK 211 DAZ;1356,49;PAU;Frais d optique et d audioprothèse
08/09/2003;2313737;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, INTERTON INTEGRA AD PP;839,84;PAU;Frais d optique et d audioprothèse
08/09/2003;2313743;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS 104;859,96;PAU;Frais d optique et d audioprothèse
08/09/2003;2314033;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE INVISA KAMP-P;898,53;PAU;Frais d optique et d audioprothèse
08/09/2003;2314062;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX Q 8;820,48;PAU;Frais d optique et d audioprothèse
08/09/2003;2314085;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS M 60-O;701,57;PAU;Frais d optique et d audioprothèse
08/09/2003;2314139;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK SONO FORTE 331 X;973,54;PAU;Frais d optique et d audioprothèse
08/09/2003;2314263;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK AUDINET CHD;731,91;PAU;Frais d optique et d audioprothèse
08/09/2003;2314688;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON DIGITALIS DSP III P;1242,76;PAU;Frais d optique et d audioprothèse
08/09/2003;2314808;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS 568 W;723,52;PAU;Frais d optique et d audioprothèse
08/09/2003;2314872;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS S 41;786,94;PAU;Frais d optique et d audioprothèse
08/09/2003;2315038;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS 566 H;701,11;PAU;Frais d optique et d audioprothèse
08/09/2003;2315050;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK INCA AF-SC;824,9;PAU;Frais d optique et d audioprothèse
08/09/2003;2315624;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK SONA P 2;1003,88;PAU;Frais d optique et d audioprothèse
08/09/2003;2315647;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS P 47 IH;829,93;PAU;Frais d optique et d audioprothèse
08/09/2003;2315676;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS VIVA PRO;930,4;PAU;Frais d optique et d audioprothèse
08/09/2003;2316291;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE 124;757,82;PAU;Frais d optique et d audioprothèse
08/09/2003;2316300;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON IKON AGCO;821,4;PAU;Frais d optique et d audioprothèse
08/09/2003;2316345;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, A&M 130 AGC;566,81;PAU;Frais d optique et d audioprothèse
08/09/2003;2316517;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO SC;678,7;PAU;Frais d optique et d audioprothèse
08/09/2003;2316598;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS VIVA 703;723,52;PAU;Frais d optique et d audioprothèse
08/09/2003;2316687;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON 925 DIGITAL MM II;1190,32;PAU;Frais d optique et d audioprothèse
22/09/2004;2316782;AUDIOPROTHESE, APPAREIL DE CLASSE A, < 20 ANS;900;PAU;Frais d optique et d audioprothèse
08/09/2003;2316888;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE PETITE + STD;779,47;PAU;Frais d optique et d audioprothèse
08/09/2003;2317050;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS S 2;854,78;PAU;Frais d optique et d audioprothèse
08/09/2003;2317480;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON DIGIFOCUS II MIC;1211,51;PAU;Frais d optique et d audioprothèse
08/09/2003;2317528;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO FORTE 3 PP SC;819,41;PAU;Frais d optique et d audioprothèse
08/09/2003;2317652;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, COSELGI AMICO;891,98;PAU;Frais d optique et d audioprothèse
08/09/2003;2317675;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK ASTRO MC;1024,46;PAU;Frais d optique et d audioprothèse
08/09/2003;2317681;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON SWIFT 70+;918,96;PAU;Frais d optique et d audioprothèse
